SSID_MAC주소,지하철역명,지하철호선ID
02:07:89:14:6f:e5,경찰병원,1003
00:16:1f:03:4b:a2,경찰병원,1003
00:40:5a:bb:8e:4a,경찰병원,1003
00:40:5a:bb:4b:a2,경찰병원,1003
00:07:89:0f:d4:8d,선릉,1075
0a:30:0d:71:d5:b1,선릉,1075
00:30:0d:71:d5:b0,선릉,1075
00:40:5a:bc:48:63,선릉,1075
0a:30:0d:74:c7:d1,선릉,1075
00:40:5a:bc:48:62,선릉,1075
00:30:0d:74:c7:d0,선릉,1075
0a:30:0d:81:03:b1,선릉,1075
00:30:0d:81:03:b0,선릉,1075
00:40:5a:bf:9b:2a,선릉,1075
00:07:89:0f:d4:99,선릉,1075
00:40:5a:bf:9b:2b,선릉,1075
00:16:1f:03:5d:8a,양재,1077
00:09:b4:61:00:6f,양재,1077
00:16:1f:03:74:83,양재,1077
12:16:1f:03:74:9f,양재,1077
00:16:1f:03:74:82,양재,1077
00:09:b4:61:00:a3,양재,1077
00:09:b4:61:00:06,양재,1077
12:16:1f:03:5f:da,양재,1077
00:09:b4:61:00:6e,양재,1077
00:16:1f:03:74:f3,양재,1077
00:16:1f:03:5d:8b,양재,1077
02:09:b4:61:00:8b,양재,1077
02:09:b4:61:00:06,양재,1077
06:17:b2:04:6a:4a,양재,1077
00:09:b4:61:00:8b,양재,1077
12:16:1f:03:5d:8b,양재,1077
00:16:1f:03:5f:db,양재,1077
02:09:b4:61:00:6e,양재,1077
00:16:1f:03:74:6e,양재,1077
12:16:1f:03:71:db,양재,1077
00:09:b4:61:00:4e,양재,1077
00:09:b4:61:00:72,양재,1077
12:16:1f:03:5f:db,양재,1077
02:09:b4:61:00:6f,양재,1077
00:16:1f:03:7b:42,잠원,1003
00:40:5a:af:37:9a,사평,1009
00:40:5a:af:3b:a2,사평,1009
00:25:a6:a5:15:b5,사평,1009
00:25:a6:a5:15:b6,사평,1009
12:16:1f:03:6e:1a,사평,1009
00:25:a6:a4:fb:8a,사평,1009
00:30:0d:58:fe:80,사평,1009
00:25:a6:a5:26:9f,사평,1009
02:30:0d:58:fe:80,사평,1009
12:16:1f:03:7d:3b,신논현,1009
12:16:1f:03:7d:3a,신논현,1009
00:16:1f:03:86:ae,신논현,1009
00:16:1f:03:7d:3b,신논현,1009
00:16:1f:03:7d:3a,신논현,1009
00:16:1f:03:52:2a,신논현,1009
12:16:1f:03:7d:b2,신논현,1009
12:16:1f:03:7d:b3,신논현,1009
00:09:b4:61:0a:6f,신논현,1009
00:09:b4:61:09:cf,신논현,1009
12:16:1f:03:52:2b,신논현,1009
12:16:1f:03:40:0f,신논현,1009
12:16:1f:03:40:0e,신논현,1009
12:16:1f:03:52:2a,신논현,1009
12:16:1f:03:86:af,신논현,1009
00:16:1f:03:7d:b3,신논현,1009
02:09:b4:61:0a:6f,신논현,1009
02:09:b4:61:09:cf,신논현,1009
00:16:1f:03:52:2b,신논현,1009
02:09:b4:61:0a:8b,신논현,1009
00:16:1f:03:86:af,신논현,1009
00:40:5a:af:3e:7b,신논현,1009
00:16:1f:03:40:0f,신논현,1009
00:16:1f:03:40:0e,신논현,1009
00:40:5a:af:3e:7a,신논현,1009
00:16:1f:03:35:57,신논현,1009
12:16:1f:03:35:56,신논현,1009
00:40:5a:af:18:b3,신논현,1009
00:16:1f:03:35:56,신논현,1009
12:16:1f:03:35:57,신논현,1009
10:e3:c7:04:2b:34,서울숲,1075
5a:08:fa:00:23:a2,서울숲,1075
10:e3:c7:04:2b:2f,서울숲,1075
5a:08:fa:00:1f:07,서울숲,1075
58:08:fa:00:2f:e3,압구정로데오,1075
12:e3:c7:04:2d:00,압구정로데오,1075
12:e3:c7:04:2c:ff,압구정로데오,1075
58:08:fa:00:30:27,압구정로데오,1075
58:08:fa:00:2f:e7,압구정로데오,1075
0a:0e:47:01:2b:9a,압구정로데오,1075
12:e3:c7:04:2c:e4,압구정로데오,1075
12:e3:c7:04:2a:23,압구정로데오,1075
58:08:fa:00:2f:d7,압구정로데오,1075
12:e3:c7:04:2a:24,압구정로데오,1075
0a:30:0d:77:bb:51,압구정로데오,1075
5a:08:fa:00:2f:e3,압구정로데오,1075
00:40:5a:bb:52:43,수서,1003
00:30:0d:7f:06:a0,수서,1003
00:40:5a:bb:49:d3,수서,1003
