"환승시작 호선","환승시작역","환승종료 호선","환승종료역","소요시간"
"7","상봉","gyeongui","상봉","06:56"
"7","상봉","gyeongui","상봉","10:01"
"7","상봉","gyeongchun","상봉","07:00"
"7","상봉","gyeongchun","상봉","07:06"
"7","상봉","gyeongchun","상봉","10:15"
"7","상봉","gyeongchun","상봉","10:01"
"7","군자","5","군자","02:34"
"7","군자","5","군자","03:25"
"7","군자","5","군자","03:25"
"7","군자","5","군자","02:34"
"7","건대입구","2","건대입구","05:35"
"7","건대입구","2","건대입구","05:25"
"7","건대입구","2","건대입구","03:49"
"7","건대입구","2","건대입구","03:44"
"7","강남구청","bundang","강남구청","03:36"
"7","강남구청","bundang","강남구청","03:40"
"7","강남구청","bundang","강남구청","03:32"
"7","강남구청","bundang","강남구청","03:34"
"7","고속터미널","3","고속터미널","04:17"
"7","고속터미널","3","고속터미널","04:06"
"7","고속터미널","3","고속터미널","06:48"
"7","고속터미널","3","고속터미널","04:19"
"7","고속터미널","9","고속터미널","09:13"
"7","고속터미널","9","고속터미널","08:53"
"7","고속터미널","9","고속터미널","09:04"
"7","고속터미널","9","고속터미널","09:17"
"7","이수","4","이수","05:17"
"7","이수","4","이수","03:44"
"7","이수","4","이수","03:48"
"7","이수","4","이수","05:24"
"7","보라매","","4405","03:00"
"7","보라매","","4405","03:00"
"7","보라매","","4403","03:00"
"7","보라매","","4403","03:00"
"7","대림","2","대림","05:55"
"7","대림","2","대림","05:21"
"7","대림","2","대림","05:18"
"7","대림","2","대림","05:57"
"7","가산디지털단지","1","가산디지털단지","04:13"
"7","가산디지털단지","1","가산디지털단지","05:23"
"7","가산디지털단지","1","가산디지털단지","04:02"
"7","가산디지털단지","1","가산디지털단지","03:44"
"7","온수","1","온수","03:45"
"7","온수","1","온수","03:32"
"7","온수","1","온수","03:49"
"7","온수","1","온수","03:29"
"7","부천종합운동장","seohae","부천종합운동장","03:33"
"7","부천종합운동장","seohae","부천종합운동장","03:33"
"7","부천종합운동장","seohae","부천종합운동장","03:33"
"7","부천종합운동장","seohae","부천종합운동장","03:33"
"8","구리","gyeongui","구리","00:43"
"8","구리","gyeongui","구리","00:43"
"8","구리","gyeongui","구리","00:43"
"8","구리","gyeongui","구리","00:43"
"8","천호","5","천호","00:39"
"8","천호","5","천호","00:39"
"8","천호","5","천호","00:43"
"8","천호","5","천호","00:43"
"8","잠실","2","잠실","04:01"
"8","잠실","2","잠실","04:11"
"8","잠실","2","잠실","04:01"
"8","잠실","2","잠실","03:58"
"8","석촌","9","석촌","02:10"
"8","석촌","9","석촌","02:16"
"8","석촌","9","석촌","02:20"
"8","석촌","9","석촌","02:16"
"8","가락시장","3","가락시장","01:52"
"8","가락시장","3","가락시장","02:02"
"8","가락시장","3","가락시장","02:02"
"8","가락시장","3","가락시장","01:52"
"8","복정","bundang","복정","00:30"
"8","복정","bundang","복정","00:40"
"8","복정","bundang","복정","00:40"
"8","복정","bundang","복정","00:30"
"9","김포공항","5","김포공항","05:28"
