﻿SSID_MAC주소,SSID등록통신사,지하철역ID,지하철역명,지하철호선ID,WIFI신호세기
﻿12:16:1f:03:28:47,﻿T wifi zone_secure,﻿1006000610,﻿응암,﻿1006,﻿-86
﻿00:40:5a:bc:40:42,﻿U+zone,﻿1006000610,﻿응암,﻿1006,﻿-86
﻿00:16:1f:03:28:46,﻿T wifi zone_1,﻿1006000610,﻿응암,﻿1006,﻿-80
﻿00:25:a6:a4:5e:d6,﻿ollehWiFi,﻿1006000610,﻿응암,﻿1006,﻿-86
﻿12:16:1f:03:52:fe,﻿T wifi zone_secure,﻿1006000610,﻿응암,﻿1006,﻿-89
﻿12:16:1f:03:74:4b,﻿T wifi zone_secure,﻿1006000616,﻿새절,﻿1006,﻿-63
﻿12:16:1f:03:2b:53,﻿T wifi zone_secure,﻿1006000616,﻿새절,﻿1006,﻿-49
﻿02:07:89:14:6f:88,﻿ollehWiFi,﻿1004000416,﻿미아삼거리,﻿1004,﻿-80
﻿12:16:1f:03:a0:2b,﻿T wifi zone_secure,﻿1004000415,﻿미아,﻿1004,﻿-68
﻿00:40:5a:c0:28:ca,﻿U+zone,﻿1075075225,﻿모란,﻿1075,﻿-76
﻿00:40:5a:c0:51:82,﻿U+zone,﻿1075075225,﻿모란,﻿1075,﻿-88
﻿06:30:0d:85:09:a2,﻿T wifi zone_secure,﻿1075075225,﻿모란,﻿1075,﻿-93
﻿02:09:b4:61:1d:57,﻿ollehWiFi,﻿1075075225,﻿모란,﻿1075,﻿-75
﻿02:09:b4:61:1b:f7,﻿ollehWiFi,﻿1075075225,﻿모란,﻿1075,﻿-78
﻿00:40:5a:c0:4d:6b,﻿FREE_U+zone,﻿1075075225,﻿모란,﻿1075,﻿-75
﻿00:30:0d:84:fd:c0,﻿T wifi zone_1,﻿1075075225,﻿모란,﻿1075,﻿-88
﻿00:30:0d:85:09:a0,﻿T wifi zone_1,﻿1075075225,﻿모란,﻿1075,﻿-88
﻿00:40:5a:c0:30:e2,﻿U+zone,﻿1075075225,﻿모란,﻿1075,﻿-89
﻿02:09:b4:61:01:56,﻿ollehWiFi,﻿1075075225,﻿모란,﻿1075,﻿-68
﻿00:09:b4:61:01:56,﻿ollehWiFi,﻿1075075225,﻿모란,﻿1075,﻿-73
﻿00:09:b4:61:1d:56,﻿ollehWiFi,﻿1075075225,﻿모란,﻿1075,﻿-87
﻿02:09:b4:61:12:66,﻿ollehWiFi,﻿1075075225,﻿모란,﻿1075,﻿-71
﻿02:09:b4:61:24:d3,﻿ollehWiFi,﻿1075075225,﻿모란,﻿1075,﻿-87
﻿00:40:5a:c0:4d:6a,﻿U+zone,﻿1075075225,﻿모란,﻿1075,﻿-77
﻿00:09:b4:61:24:d2,﻿ollehWiFi,﻿1075075225,﻿모란,﻿1075,﻿-88
﻿02:09:b4:61:1b:f6,﻿ollehWiFi,﻿1075075225,﻿모란,﻿1075,﻿-75
﻿02:09:b4:61:1d:56,﻿ollehWiFi,﻿1075075225,﻿모란,﻿1075,﻿-87
﻿02:09:b4:61:24:d2,﻿ollehWiFi,﻿1075075225,﻿모란,﻿1075,﻿-89
﻿0a:30:0d:84:68:f2,﻿T wifi zone_secure,﻿1075075225,﻿모란,﻿1075,﻿-83
﻿00:30:0d:84:68:e0,﻿T wifi zone_1,﻿1075075225,﻿모란,﻿1075,﻿-88
﻿00:30:0d:84:68:f0,﻿T wifi zone,﻿1075075225,﻿모란,﻿1075,﻿-82
﻿00:09:b4:61:1d:bf,﻿ollehWiFi,﻿1075075225,﻿모란,﻿1075,﻿-88
﻿00:40:5a:c0:51:83,﻿FREE_U+zone,﻿1075075225,﻿모란,﻿1075,﻿-76
﻿00:07:89:14:61:81,﻿ollehWiFi,﻿1075075226,﻿야탑,﻿1075,﻿-35
